##########################################################################################################################################################
  d      a   C  C F d        d   eI     D   I  I   F     e   I     D   			F	a   I    he  g b  b      e   g      h   b   e    h                   #
# d########## d#e ####  #  # C#############I #  ##########  #C #  ####  #  ##########a ####### e##########  #  ####  ####### h####ea##########e #######g #
#  #        #  #     #F #  #     e b   #  #d #     #b    #   d    #     #g #     #d # b   #     # F      #  #     #  # e    a    #   F #    a#       e#  #
#  # d####  #  #######C #  ##########  #  #  ####  #  # b####  #### C#### I#F #  #  #  #  ##########  ####F #g #  #  ########## a####  #  #  #######  #  #
#eb#  #        #        #C    #        #      b #   C #     #     #    g#  # a#a #  add#           d  #    d#e #  # aI  #     #  g  #  #  #  #     #  #b #
#  #  #  #######  #######e ####  #########################  ####  #### e#  #  #  ##########b ##########  #######  ####  # g#  ####  #  ####  #  #  # I#d #
#  #g #  #        #        # d   # b aC     a   #   b #  #    g C #     b     #  #   h      e#h  I ea #  #        #     #  #   F    #  #  a  # d# d   #e #
#g #  ####  #b ####  #######  ####  ##########  ####  #  ##########  #### d#######  ################  #  #  ##########  #  ##########  #  #############hg#
#   a    #  #  #   F #     #b e F   #e    I     # a  a#     #  Cd #    b# I   # bh I#CF   #        F  # b   #   h #     # e#    a#  #  F a      # b   #  #
####  #  #  ####  ####  #b ##########  ##########e #######  #  #######aC#### h#e ####  #  #dF#############  #  # d#  ####  # b#  #b ####  ####g #  #d #  #
#  g  #     #  gC # F   #    d       b #  C  #  g     #g F  #  b  d  #    I# C#  #    g# b a #     #  #     #a #  g  # a   #  #a #   a    #     #  #  #  #
# C##########  ####  #### I#############b ####  #e # e#  #  #######  ####h #  #d #  #############  #  #  ####  #######  #######  ##########  ####  # F# g#
#     #e I F d    #     #F #  #        #      b # h#   ah#b    #        C  #I #  # d      #      e #     #  #  #       I      #  #h    #dC   #     #  # a#
#  #  #  #######  ####g # F#  #  #### F#### g####  ##########  #  #  #######  #  #######  #  #######  #  #  #  #  ####  ####  #  #e ####  ####F ####  #  #
# b#   b # C   I  #    C# C d #  #Ie#  C  #  h  #           #  #F #   g e  # e#  a  #   g #  #  II   C# b#  # b  a#     #F   g#F #   a #   b #  a  #  #  #
#  #######b ###################  #  #  #  ################  ####  #######  #  ####  #  #  # I#############  ####### e####  ####  ####  ####  #  #  # F#  #
#  #    h#F    #              I  #  #  #e    #   aC#     #    h   # ehgCe  #  #     #  #  #     a  #        #  #C    #  #  #     #h #     I  #  #  # b#  #
####  #  #### b#  #############  #  #######h #a #  #  #############  #######I #  ####  ##########  #  ####### g#g ####  #  #  ####  #### F#######a #  #ag#
#  g h#  #     #  # I    h b  #  #  #b    #  #  #  #  #        #     #    F      #     F  #F    #  #  #d #h  ba  g# F      #     #bC#  I  # Ca     #h #  #
#  ####  #  #######IC#######  # b#  #  #  #  ####  # h# e####  #  ####  ########## F#### g####  # a#  #  #  ###################  # e#  ####  #######  #I #
#b    #I    #     # ea  #   I # d#     #g #  # a   #  #  # e#  #I #   h # h a    #  #  #     #  b   b # b#   g #            Ca d #  #   e    # I     b#  #
####  #######  #  #######  ########## g#  #  #  ####b #  #  #  #  #  ##########  #  #  #C #I ####  #### a#### d#  ################  ########## a#######  #
#  #d   d  g   #  d  #  F  #     e  #  #      F #    b  C# h   # d# C#        #  I e#  #  #     # b   #     #  #     #     #  e  a  #     # F#     e  #  #
#  ################g #  ##########  #a ########## C################  #######  #  ####  ####### d####F ####b #a ####g #  # a#  ####### e#  #e #######  #bg#
#        b              # a  g#     #  a b#    b bh   #        #  h           #  #  #      C # F#F #     #h       #  #  #  #Cg  b#     #    F# d  h#  #  #
#  ################  ####### b#  ####  #  #a ####  # C#d #  #  #  #  ##########  #e #######  #  #  ####  ####g #  #  ####  #### I#  #  ####### I#  #d #FC#
#  C      bC#    d#a       #b   F#    e#  # C#     #F #  #h #     #          e   #     # g# e#        #      d #  #F    #  #  a  #  #  #I       #e #I #  #
##########C #  #######  #  ####  #  #######  #  ####  #g #  ######################  # b#  #  #  ################  ####  #  #  #### g#  #  #######hb#  #  #
#          g#  h    I   #  a  #  #  #e   C#I #     #e   a#     #   bI   #     #  #  #e    #     #  Fbb#  g   hd#  #     #  #  #     #     # b   e  #  #  #
#  #########################  #a #d #  #a #  ####  ##########  #  ####  #  #  #  #  ####  ####  #  #  # C####  ####  # F#e #  #  ##########  ####  #  #  #
#     b       h#       g          g # h#        #  #     #    F#  #        #  #     #      g #     #  I F   #     #  #  #  # IF  #e    d d   #     #g # a#
############# d#a ##########  #  ####  #  ####  #  #ge#bb#  #######  #  ####b #############  ##########  #######  # C# d#  ###################  ####F # e#
#  #h      h#g #  #   I # F   #aI      #   ea#a #  #  #  #d  d #     #hh   #C    #      Id#  g   gb   #  #    g#  # F#     #        #  #d    #     #h # e#
#  #  ####I #  #  ####  #  ################  # h#b #d #######  #  #############  #  #############  #  ####  #  #  #  #  ####  ####  # b#h #  ####  #  #  #
#e    #g       #        #     #        #  d g#bd#  #     C b#     #     #    a# g#  #   C    g     #   b I  # h   #  #     #  #     #  #  #        #  #g #
############################  #  ####g #  ####h #  ####  #### I#######  #  ####dF# I#  #C ###################  ####  ####  #  #  ####h #  ##########g #a #
#de e   e       h       e I   # e   #     #     #  F  #    a   a        #    g   #a   a#                  g #        #     g a#   ee   I  #       I b    #
##########################################################################################################################################################
