##########################################################################################################################################################
                                      	 	 	 	 	      		 	 	                        b h   C     h F         a                            #
#######################################################################################################################################################  #
 I #    D   #  b  #  #    ge     C        #     #              #  F  #     #h    #        I  # Fg  #  #              #    hI   d          #        #h #b #
#  ####  #  #######  ####  ##########  #  ##########  #  #  ####  ####  ####  #######  #gh#e #  ####  ####  #  #  #  #######  #  #######  #  ####b #  #  #
#d #     # h#      C #     #  d   e #  #  #     #  b  #  #     #h    #     #   d    #  #  # C#   d b  #      g #  #  #   IF#  #           #  #     #  #  #
#  #  ####  #  #  ####  ##########  ####  #  #  ####  #######  #### C####g #######  #a #  #  ###################b #  #  ####  ####  #  ####e #  #######  #
# a# a#  #     #     #   d    F  #        #  #   g # h   #     #  # C#     #     #  #  b  #  F  #  a        C     #  #  d     #     #  #     #  g h h #  #
# g#  #  ##########  #  ####### e##########  ####  #a #e #  ####  #g ####### F#  #############  #  ################  #######  #  #######  ##########  #  #
#     #       a      #     #     #        #     #   I #     #  #     #  I   a #     hF  F #     #          h       F #   e    #     #   h #        #  #  #
#e #############  ##########b #### C#a #  ####  ##########  #d ####  #  ################  #  #######  ####  ########## b#######  #  #  #######  ####  #  #
# a#        #  h  #b    #  e  # F   #  #  #  #        #  # d   #     #  #           #g #     #  # b   #  #  #F          #     h g#    b#        #     # a#
#  #  ####  #  ####### I#d ####  #######  #  ####### e#  #######e ####  #  #######  #  #######  #  ####  #  ####  #######  #######  ####  #######  #  #  #
#  #b    #  #  #        #  #     a  #   F #  # g   #  #        #  #  #   C #        #  #   gh   #  #     #  #     #           #     #     #     #  #  #  #
#h ####  ####  #  ####  # F##########  ####C #  #  #  #  # b#  #e #  #######  #######  # F#######  #  ####  #e ####  #######  #  ####  ####  #I #h ####  #
#     #        #  # Fb  #      F #     #     #  #    b#a #  #   F #  #  #     #    F   #     # g   #     #     # I F       #h #     #  #     #  #b    #  #
####  ##########  #  ##########  #  ####  ####  ##########  #######e #  #  #### a#  ####  #  ####  ####  #  #############  #######  #  #  ####  ####  #  #
#     #        #  #   d #     #I #  e     #  C  #g    egd#  a     #  #  # F   # d#     #  #     #F     e #     #    I#      e #     #  #  I  #     #  #  #
#  #### I#  #  #  ####  #  #  # C#  ####  #  ##########  #######  #  #  ####eF#  ####  # d####  #############a #  #  ####e #  #  ####  ####  ####  #  #  #
#        #  #  #  #  #     #     #  #   eI#           #        # d  a#  g     #  #  I  #  #  #       C         #  #  #    b# I#  #F    #     #        #  #
##########  ####  #  #######a #  #  #  #############  #######  #######  # C####  #  ####F #d ###################  #  #  #######  #h #############  ####CF#
#  #   d #  # a   #     #     #     #     g        #d #     #   b F     #     # a#b #   d #  #        #b    #b    #     #   C    #  #     #    e g #  #  #
#  #  #  #  #  #######  #  #############  #######  #h #  ################  #  # h#  #######  #I ####  ####  #  ####  #######  ####  #  #  #  #######  #  #
#  #  # d#h    #     #  #        #    a  e#  b  #    a#  hC    # I   #  F  # I#  #        #  #     #  #     #  #d    #       b#   d #  # b#  #      F #  #
# F#  ####  #######  #  ##########e ##########  #############  #  #  #  #######  #######  #  #######  # a####  #######  #######d ####  #h #  #  #######  #
#  #        #        #              #     #     #   e C           #  #     #  C  # I   #   b             #      F #  #        #     #  #   g #  #     #  #
#  ####  #  #  #  # e################  # I#  ####  #######  #######  #######  #  #  #######  #######  #### I#  #  #  #######  #e ####  #######  #  # a#  #
#h #     #  #  #  #     # b   #      g #a  g #     #  #     #        #   C h  #  #  e   h #  #     # F      #  #  b  #    b#  #   F #     #     #  #  #  #
#g #  #######  #######  #a #  #  ####  #######  ####  #  #############  ################  #  # h#  ##########  ####  #  #  #  ####  ####  #C ####  #  #  #
# g#  #     #  I  # d#     #  I  #     g g#e    #  g  #     #         h #           #     #  #  #  #        I  #  #  #Ie#     #        #  #C    #b #  #  #
#  #  # I#  ####b #Cd#############  ####  #  #### d#######  #  ##########  ##########  #######h #  ####### a####dh#  #  #############  #  #### C#  #  #  #
#  g  #  #   h #  #        #   h #     #  #     C  #    e#     #  #     #  #       I  F#  #     #  F    e#IF  F   #  #I    #          I#e #a    #  #  #  #
#  ####b ####  #  #  ####  ####  ####  #  ####### e#  ##########  #  #  # I#  ####  #  #  #  ##########  ##########  ####  #  ####  ####  #  ####  #  #  #
#  #     #  #     #  #     #  de #    I#     #  # e#  #a C     #     #     a  #    F#     #  # b      #       a#  #  #     #  #  #  #          d   #  #  #
#  ####  #  #######  #  ####  #  #  #######  # a#I #  #  ####  ##########  ################  # a#a ##########  #  #  #  ####  #  #  #######  #######  #  #
#        #           # C      #     #        #     #     #         I   hF        F   gC      #  #          I         #   F  C #           Ca #           #
##########################################################################################################################################################
